NP -> PRP, 0.00537127662237556
S -> NP VP, 0.00813691078898716
PP -> IN NP, 0.011886377033513718
ADVP -> RB, 0.03193822156697796
S -> VP, 0.044601045766294416
SBAR -> S, 0.0037200504271819013
NP -> DT NN, 0.0714156696035908
NP -> NN, 0.04929951749528997
NP -> NP PP, 0.08773984366321728
SBAR -> IN S, 0.1094324150371381
NP -> NP SBAR, 0.06730858988351135
VP -> TO VP, 0.14888564049471537
NP -> DT, 0.0927203317809048
NP -> NNS, 0.3077381060232583
SBAR -> WHNP S, 0.31200458145862214
VP -> MD VP, 0.3847613776733618
VP -> VB NP, 0.22784394607143169
VP -> VBP SBAR, 0.34474498790108005
VP -> VBP VP, 0.20063899328149148
S -> S CC S, -0.12203950846652874
